zip,das_type
03593,EDAS
03595,EDAS
03597,REMOTE
03598,DAS
03601,EDAS
03602,EDAS
03603,EDAS
03605,EDAS
03607,EDAS
03608,DAS
03609,EDAS
03740,EDAS
03741,DAS
03743,DAS
03745,EDAS
03746,EDAS
03748,DAS
03750,EDAS
03751,EDAS
03752,EDAS
03753,DAS
03754,DAS
03765,EDAS
03768,EDAS
03769,DAS
03770,DAS
03771,DAS
03773,DAS
03774,DAS
03777,EDAS
03779,EDAS
03780,EDAS
03781,EDAS
03782,EDAS
03785,DAS
03809,EDAS
03810,EDAS
03811,DAS
03812,EDAS
03813,EDAS
03814,EDAS
03815,EDAS
03816,EDAS
03817,EDAS
03818,EDAS
03819,DAS
03823,DAS
03824,DAS
03825,DAS
03827,DAS
03830,EDAS
03832,EDAS
03835,EDAS
03836,EDAS
03837,EDAS
03838,DAS
03841,DAS
03844,DAS
03845,EDAS
03846,EDAS
03848,DAS
03849,EDAS
03850,DAS
03851,EDAS
03852,EDAS
03853,EDAS
03855,EDAS
03856,DAS
03860,EDAS
03861,DAS
03864,EDAS
03868,DAS
03869,DAS
03870,DAS
03872,EDAS
03873,DAS
03875,EDAS
03882,EDAS
03883,EDAS
03884,EDAS
03886,EDAS
03887,EDAS
03890,EDAS
03894,EDAS
03896,EDAS
03897,EDAS
03901,DAS
03902,DAS
03903,DAS
03905,DAS
03907,DAS
03908,DAS
04001,EDAS
04002,DAS
04003,EDAS
04008,EDAS
04009,EDAS
04010,EDAS
04013,EDAS
04015,EDAS
04016,EDAS
04017,REMOTE
04019,REMOTE
04020,EDAS
04021,DAS
04022,EDAS
04024,EDAS
04027,EDAS
04029,EDAS
04030,DAS
04032,EDAS
04033,DAS
04034,EDAS
04037,EDAS
04038,DAS
04039,DAS
04040,EDAS
04041,EDAS
04042,DAS
04046,DAS
04047,EDAS
04048,EDAS
04049,EDAS
04050,REMOTE
04051,EDAS
04053,EDAS
04054,DAS
04055,EDAS
04056,EDAS
04057,EDAS
04061,DAS
04062,DAS
04063,EDAS
04066,EDAS
04068,EDAS
04069,EDAS
04071,EDAS
04073,DAS
04075,EDAS
04076,EDAS
04077,EDAS
04078,EDAS
04079,EDAS
04083,DAS
04084,DAS
04085,DAS
04086,DAS
04087,DAS
04088,EDAS
04090,DAS
04091,EDAS
04093,DAS
04095,EDAS
04096,DAS
04097,DAS
04108,REMOTE
04109,EDAS
04216,EDAS
04217,EDAS
04219,EDAS
04220,EDAS
04221,EDAS
04222,DAS
04224,EDAS
04225,DAS
04226,EDAS
04227,EDAS
04228,DAS
04230,DAS
04231,EDAS
04234,EDAS
04236,DAS
04237,EDAS
04238,DAS
04239,DAS
04250,DAS
04252,DAS
04253,EDAS
04254,DAS
04255,EDAS
04256,DAS
04257,DAS
04258,EDAS
04259,DAS
04260,DAS
04261,EDAS
04263,DAS
04265,DAS
04266,DAS
04267,EDAS
04268,DAS
04270,DAS
04271,DAS
04274,DAS
04275,EDAS
04276,EDAS
04278,EDAS
04280,DAS
04281,DAS
04282,DAS
04284,DAS
04285,REMOTE
04286,DAS
04287,EDAS
04288,EDAS
04289,EDAS
04290,EDAS
04291,DAS
04292,EDAS
04294,EDAS
04341,DAS
04342,EDAS
04343,DAS
04345,DAS
04348,EDAS
04349,EDAS
04350,DAS
04351,DAS
04352,REMOTE
04353,REMOTE
04354,REMOTE
04355,DAS
04357,DAS
04358,REMOTE
04360,EDAS
04363,EDAS
04364,EDAS
04401,DAS
04406,REMOTE
04408,EDAS
04410,EDAS
04411,EDAS
04412,DAS
04413,REMOTE
04414,EDAS
04415,DAS
04416,REMOTE
04417,REMOTE
04418,EDAS
04419,DAS
04420,EDAS
04421,EDAS
04422,EDAS
04423,EDAS
04424,EDAS
04426,REMOTE
04427,EDAS
04428,EDAS
04429,EDAS
04430,EDAS
04431,EDAS
04434,EDAS
04435,EDAS
04438,EDAS
04441,EDAS
04442,EDAS
04443,EDAS
04444,DAS
04448,EDAS
04449,EDAS
04450,EDAS
04451,EDAS
04453,EDAS
04454,REMOTE
04455,EDAS
04456,DAS
04457,EDAS
04459,EDAS
04460,EDAS
04461,EDAS
04462,EDAS
04463,EDAS
04464,EDAS
04467,EDAS
04468,DAS
04471,EDAS
04472,EDAS
04473,DAS
04474,DAS
04475,EDAS
04476,EDAS
04478,EDAS
04479,EDAS
04481,EDAS
04485,EDAS
04487,REMOTE
04488,EDAS
04489,EDAS
04490,REMOTE
04491,EDAS
04492,REMOTE
04493,EDAS
04495,REMOTE
04496,DAS
04497,EDAS
04530,DAS
04535,EDAS
04537,DAS
04538,DAS
04539,EDAS
04541,DAS
04543,DAS
04544,EDAS
04547,EDAS
04548,REMOTE
04551,EDAS
04552,EDAS
04553,DAS
04554,REMOTE
04555,EDAS
04556,EDAS
04558,EDAS
04562,EDAS
04563,EDAS
04564,EDAS
04565,DAS
04567,EDAS
04568,EDAS
04570,EDAS
04571,EDAS
04572,EDAS
04573,DAS
04574,REMOTE
04575,EDAS
04576,EDAS
04578,EDAS
04579,DAS
04605,EDAS
04606,REMOTE
04607,EDAS
04609,DAS
04611,EDAS
04612,EDAS
04613,EDAS
04614,EDAS
04615,EDAS
04616,EDAS
04617,EDAS
04619,EDAS
04622,EDAS
04623,EDAS
04624,EDAS
04625,REMOTE
04626,EDAS
04627,EDAS
04628,EDAS
04629,EDAS
04630,REMOTE
04631,EDAS
04634,EDAS
04635,EDAS
04637,DAS
04640,EDAS
04642,EDAS
04643,EDAS
04644,EDAS
04645,REMOTE
04646,EDAS
04648,EDAS
04649,EDAS
04650,EDAS
04652,EDAS
04653,EDAS
04654,EDAS
04655,EDAS
04656,EDAS
04657,EDAS
04658,EDAS
04660,EDAS
04662,DAS
04664,EDAS
04665,DAS
04666,EDAS
04667,EDAS
04668,EDAS
04669,DAS
04671,EDAS
04672,DAS
04673,EDAS
04674,EDAS
04675,DAS
04676,EDAS
04677,EDAS
04679,EDAS
04680,EDAS
04681,EDAS
04683,EDAS
04684,EDAS
04685,REMOTE
04686,EDAS
04690,DAS
04691,EDAS
04693,EDAS
04694,EDAS
04730,EDAS
04732,EDAS
04733,EDAS
04734,EDAS
04735,EDAS
04736,EDAS
04737,EDAS
04738,DAS
04739,EDAS
04740,DAS
04741,EDAS
04742,DAS
04743,REMOTE
04744,EDAS
04745,EDAS
04746,REMOTE
04747,EDAS
04750,EDAS
04751,DAS
04756,EDAS
04757,EDAS
04758,EDAS
04759,EDAS
04760,EDAS
04761,EDAS
04762,REMOTE
04763,EDAS
04764,REMOTE
04765,EDAS
04766,EDAS
04768,EDAS
04769,DAS
04772,EDAS
04773,EDAS
04774,EDAS
04776,EDAS
04777,EDAS
04779,EDAS
04780,EDAS
04781,EDAS
04783,REMOTE
04785,EDAS
04786,EDAS
04787,EDAS
04841,REMOTE
04843,DAS
04847,EDAS
04848,REMOTE
04849,DAS
04850,DAS
04851,EDAS
04852,REMOTE
04853,REMOTE
04854,DAS
04855,EDAS
04856,DAS
04857,EDAS
04858,EDAS
04859,EDAS
04860,EDAS
04861,DAS
04862,EDAS
04863,EDAS
04864,EDAS
04865,DAS
04910,EDAS
04911,REMOTE
04912,EDAS
04915,DAS
04917,DAS
04918,DAS
04920,EDAS
04921,EDAS
04922,EDAS
04923,EDAS
04924,REMOTE
04925,EDAS
04926,EDAS
04927,DAS
04928,EDAS
04929,EDAS
04930,EDAS
04932,EDAS
04933,DAS
04936,REMOTE
04937,DAS
04938,DAS
04939,EDAS
04941,REMOTE
04942,REMOTE
04943,REMOTE
04944,DAS
04945,EDAS
04947,EDAS
04949,EDAS
04950,EDAS
04951,EDAS
04952,EDAS
04953,EDAS
04954,EDAS
04955,REMOTE
04956,EDAS
04957,EDAS
04958,REMOTE
04961,EDAS
04962,DAS
04963,DAS
04964,REMOTE
04965,EDAS
04966,EDAS
04967,EDAS
04969,EDAS
04970,REMOTE
04971,EDAS
04972,DAS
04973,EDAS
04974,EDAS
04976,EDAS
04978,EDAS
04979,EDAS
04981,DAS
04982,REMOTE
04983,EDAS
04984,EDAS
04985,REMOTE
04986,EDAS
04987,EDAS
04988,EDAS
04989,REMOTE
04992,DAS
05001,DAS
05030,DAS
05031,EDAS
05032,EDAS
05033,DAS
05034,EDAS
05035,EDAS
05036,EDAS
05037,EDAS
05038,EDAS
05039,EDAS
05040,EDAS
05041,EDAS
05042,EDAS
05043,EDAS
05045,EDAS
05046,EDAS
05047,EDAS
05048,EDAS
05049,EDAS
05050,DAS
05051,EDAS
05052,EDAS
05053,DAS
05055,DAS
05056,EDAS
05058,EDAS
05059,EDAS
05060,DAS
05061,DAS
05062,EDAS
05065,EDAS
05067,EDAS
05068,EDAS
05069,EDAS
05070,EDAS
05071,EDAS
05072,EDAS
05073,DAS
05074,EDAS
05075,EDAS
05076,REMOTE
05077,EDAS
05079,EDAS
05081,EDAS
05083,EDAS
05084,REMOTE
05085,EDAS
05086,EDAS
05089,DAS
05091,DAS
05101,DAS
05141,DAS
05142,EDAS
05143,EDAS
05146,EDAS
05148,EDAS
05149,EDAS
05150,DAS
05151,EDAS
05152,EDAS
05153,EDAS
05154,DAS
05155,EDAS
05156,DAS
05158,DAS
05159,DAS
05161,EDAS
05201,DAS
05250,EDAS
05251,EDAS
05252,EDAS
05253,DAS
05254,DAS
05255,DAS
05257,EDAS
05260,EDAS
05261,EDAS
05262,EDAS
05301,DAS
05302,DAS
05303,DAS
05304,DAS
05340,EDAS
05341,EDAS
05342,EDAS
05343,EDAS
05344,EDAS
05345,EDAS
05346,DAS
05350,EDAS
05351,EDAS
05352,EDAS
05353,EDAS
05354,DAS
05355,EDAS
05356,EDAS
05357,DAS
05358,EDAS
05359,EDAS
05360,EDAS
05361,EDAS
05362,EDAS
05363,EDAS
05440,REMOTE
05441,EDAS
05442,EDAS
05443,DAS
05444,EDAS
05445,DAS
05447,EDAS
05448,REMOTE
05450,EDAS
05454,DAS
05455,EDAS
05456,EDAS
05457,EDAS
05458,EDAS
05459,EDAS
05460,EDAS
05461,DAS
05462,EDAS
05463,EDAS
05464,EDAS
05465,DAS
05466,EDAS
05469,DAS
05470,EDAS
05471,EDAS
05472,EDAS
05473,DAS
05474,EDAS
05476,EDAS
05477,DAS
05481,EDAS
05483,REMOTE
05485,REMOTE
05486,EDAS
05487,REMOTE
05488,EDAS
05489,EDAS
05490,EDAS
05491,EDAS
05492,EDAS
05494,DAS
05602,DAS
05640,EDAS
05641,DAS
05647,EDAS
05648,EDAS
05649,DAS
05650,EDAS
05651,EDAS
05652,EDAS
05653,EDAS
05654,DAS
05655,EDAS
05656,DAS
05657,DAS
05658,EDAS
05660,EDAS
05661,DAS
05662,DAS
05663,DAS
05664,DAS
05665,DAS
05666,EDAS
05667,EDAS
05669,EDAS
05670,DAS
05671,DAS
05672,DAS
05673,EDAS
05674,EDAS
05675,EDAS
05676,DAS
05677,DAS
05678,DAS
05679,EDAS
05680,EDAS
05681,EDAS
05682,EDAS
05730,EDAS
05731,DAS
05732,EDAS
05733,EDAS
05734,EDAS
05735,EDAS
05736,DAS
05737,EDAS
05738,EDAS
05739,EDAS
05740,DAS
05741,EDAS
05742,EDAS
05743,EDAS
05744,EDAS
05745,EDAS
05746,EDAS
05747,EDAS
05748,EDAS
05750,EDAS
05751,EDAS
05753,DAS
05757,EDAS
05758,EDAS
05760,EDAS
05761,EDAS
05762,EDAS
05763,EDAS
05764,EDAS
05765,DAS
05766,EDAS
05767,EDAS
05768,DAS
05769,EDAS
05770,EDAS
05772,EDAS
05773,EDAS
05774,EDAS
05775,EDAS
05776,EDAS
05777,EDAS
05778,EDAS
05819,DAS
05820,EDAS
05821,EDAS
05822,EDAS
05823,DAS
05824,REMOTE
05825,EDAS
05826,EDAS
05827,EDAS
05828,EDAS
05829,DAS
05830,DAS
05832,EDAS
05833,EDAS
05836,EDAS
05837,EDAS
05839,EDAS
05840,REMOTE
05841,EDAS
05842,EDAS
05843,EDAS
05845,REMOTE
05846,EDAS
05847,EDAS
05848,DAS
05849,EDAS
05850,DAS
05851,DAS
05853,REMOTE
05855,DAS
05857,EDAS
05858,EDAS
05859,EDAS
05860,EDAS
05861,EDAS
05862,EDAS
05863,DAS
05866,EDAS
05867,REMOTE
05868,EDAS
05871,EDAS
05872,EDAS
05873,EDAS
05874,EDAS
05875,EDAS
05901,REMOTE
05902,EDAS
05903,EDAS
05904,EDAS
05905,REMOTE
05906,EDAS
05907,EDAS
06001,DAS
06013,DAS
06016,DAS
06018,DAS
06019,DAS
06020,DAS
06021,EDAS
06022,DAS
06024,EDAS
06026,DAS
06027,EDAS
06031,DAS
06035,DAS
06039,DAS
06043,DAS
06057,DAS
06058,EDAS
06059,DAS
06060,DAS
06061,EDAS
06062,DAS
06063,EDAS
06065,EDAS
06068,EDAS
06069,EDAS
06071,DAS
06073,DAS
06075,DAS
06076,DAS
06078,DAS
06079,EDAS
06081,DAS
06084,DAS
06085,DAS
06087,EDAS
06089,DAS
06090,DAS
06091,EDAS
06092,DAS
06093,DAS
06094,DAS
06098,EDAS
06230,DAS
06231,DAS
06232,DAS
06234,EDAS
06235,EDAS
06237,DAS
06238,DAS
06239,DAS
06242,EDAS
06243,DAS
06244,EDAS
06246,DAS
06247,EDAS
06248,DAS
06249,DAS
06250,DAS
06251,DAS
06254,DAS
06255,DAS
06258,EDAS
06259,EDAS
06262,DAS
06264,DAS
06266,DAS
06267,DAS
06268,DAS
06277,DAS
